6.57738,64.0658,0.635257,0.145948,0.0927143,1.64081
6.57743,64.0619,0.634407,0.145946,0.0925894,1.64081
6.57749,64.058,0.633553,0.145945,0.0924639,1.64081
6.57755,64.054,0.632694,0.145944,0.0923376,1.64081
6.5776,64.05,0.631827,0.145942,0.0922101,1.64081
6.57766,64.046,0.63095,0.145941,0.0920812,1.64081
6.57771,64.042,0.630061,0.145939,0.0919505,1.64081
6.57777,64.0379,0.62916,0.145938,0.0918182,1.64081
6.57782,64.0338,0.628247,0.145936,0.091684,1.64081
6.57788,64.0298,0.627322,0.145935,0.091548,1.64081
6.57794,64.0257,0.626385,0.145933,0.0914104,1.64081
6.57799,64.0216,0.625439,0.145932,0.0912713,1.64081
6.57805,64.0174,0.624484,0.14593,0.091131,1.64081
6.5781,64.0133,0.623524,0.145929,0.09099,1.64081
6.57816,64.0092,0.622562,0.145927,0.0908486,1.64081
6.57821,64.005,0.621601,0.145926,0.0907074,1.64081
6.57827,64.0009,0.620645,0.145924,0.0905671,1.64081
6.57833,63.9967,0.6197,0.145923,0.0904282,1.64081
6.57838,63.9926,0.61877,0.145921,0.0902915,1.64081
6.57844,63.9885,0.61786,0.145919,0.0901578,1.64081
6.57849,63.9844,0.616975,0.145918,0.0900278,1.64081
6.57855,63.9802,0.616122,0.145916,0.0899024,1.64081
6.5786,63.9761,0.615305,0.145915,0.0897823,1.64081
6.57866,63.9721,0.614531,0.145913,0.0896683,1.64081
6.57872,63.968,0.613804,0.145912,0.0895613,1.64081
6.57877,63.9639,0.613129,0.14591,0.0894619,1.64081
6.57883,63.9599,0.612511,0.145909,0.0893709,1.64081
6.57888,63.9559,0.611955,0.145908,0.0892888,1.64081
6.57894,63.9519,0.611463,0.145906,0.0892162,1.64081
6.57899,63.948,0.61104,0.145905,0.0891536,1.64081
6.57905,63.944,0.610687,0.145903,0.0891012,1.64081
6.57911,63.9401,0.610408,0.145902,0.0890595,1.64081
6.57916,63.9362,0.610202,0.1459,0.0890286,1.64081
6.57922,63.9323,0.61007,0.145899,0.0890085,1.64081
6.57927,63.9285,0.610012,0.145897,0.0889991,1.64081
6.57933,63.9246,0.610026,0.145896,0.0890004,1.64081
6.57938,63.9208,0.610112,0.145895,0.0890121,1.64081
6.57944,63.917,0.610266,0.145893,0.0890337,1.64081
6.5795,63.9132,0.610485,0.145892,0.0890648,1.64081
6.57955,63.9095,0.610765,0.14589,0.0891048,1.64081
6.57961,63.9057,0.611101,0.145889,0.089153,1.64081
6.57966,63.902,0.611489,0.145888,0.0892087,1.64081
6.57972,63.8983,0.611922,0.145886,0.0892711,1.64081
6.57977,63.8945,0.612395,0.145885,0.0893392,1.64081
6.57983,63.8908,0.6129,0.145884,0.0894121,1.64081
6.57989,63.8871,0.613432,0.145882,0.0894888,1.64081
6.57994,63.8834,0.613982,0.145881,0.0895683,1.64081
6.58,63.8797,0.614545,0.14588,0.0896495,1.64081
6.58005,63.876,0.615111,0.145878,0.0897313,1.64081
6.58011,63.8723,0.615675,0.145877,0.0898127,1.64081
6.58016,63.8685,0.616229,0.145875,0.0898927,1.64081
6.58022,63.8648,0.616765,0.145874,0.0899701,1.64081
6.58028,63.8611,0.617278,0.145873,0.090044,1.64081
6.58033,63.8573,0.61776,0.145871,0.0901134,1.64081
6.58039,63.8535,0.618205,0.14587,0.0901775,1.64081
6.58044,63.8497,0.618607,0.145869,0.0902354,1.64081
6.5805,63.8459,0.618963,0.145867,0.0902863,1.64081
6.58056,63.8421,0.619265,0.145866,0.0903296,1.64081
6.58061,63.8383,0.619511,0.145864,0.0903646,1.64081
6.58067,63.8344,0.619698,0.145863,0.0903909,1.64081
6.58072,63.8305,0.619821,0.145862,0.090408,1.64081
6.58078,63.8266,0.619879,0.14586,0.0904156,1.64081
6.58083,63.8227,0.61987,0.145859,0.0904134,1.64081
6.58089,63.8187,0.619794,0.145857,0.0904014,1.64081
6.58095,63.8147,0.619649,0.145856,0.0903794,1.64081
6.581,63.8107,0.619437,0.145854,0.0903475,1.64081
6.58106,63.8067,0.619159,0.145853,0.090306,1.64081
6.58111,63.8026,0.618815,0.145851,0.0902549,1.64081
6.58117,63.7986,0.618408,0.14585,0.0901946,1.64081
6.58122,63.7945,0.61794,0.145848,0.0901255,1.64081
6.58128,63.7903,0.617416,0.145847,0.0900481,1.64081
6.58134,63.7862,0.616837,0.145845,0.0899627,1.64081
6.58139,63.7821,0.616207,0.145844,0.08987,1.64081
6.58145,63.7779,0.615532,0.145842,0.0897705,1.64081
6.5815,63.7737,0.614815,0.145841,0.089665,1.64081
6.58156,63.7695,0.61406,0.145839,0.089554,1.64081
6.58161,63.7653,0.613273,0.145838,0.0894382,1.64081
6.58167,63.761,0.612457,0.145836,0.0893183,1.64081
6.58173,63.7568,0.611618,0.145834,0.089195,1.64081
6.58178,63.7525,0.61076,0.145833,0.0890689,1.64081
6.58184,63.7483,0.609888,0.145831,0.0889407,1.64081
6.58189,63.7441,0.609006,0.14583,0.0888111,1.64081
6.58195,63.7398,0.608118,0.145828,0.0886807,1.64081
6.582,63.7356,0.607228,0.145827,0.08855,1.64081
6.58206,63.7314,0.606341,0.145825,0.0884197,1.64081
6.58212,63.7272,0.605459,0.145824,0.0882902,1.64081
6.58217,63.723,0.604587,0.145822,0.0881621,1.64081
6.58223,63.7188,0.603726,0.14582,0.0880357,1.64081
6.58228,63.7146,0.602881,0.145819,0.0879115,1.64081
6.58234,63.7105,0.602053,0.145817,0.0877899,1.64081
6.58239,63.7064,0.601245,0.145816,0.0876711,1.64081
